date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,country_iso3,description,ilo_source
1998-01-01,,1377,,participation_rate_egy,46.003,percent of working-age population,ILOSTAT (rplumber.ilo.org),1998,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1999-01-01,,1378,,participation_rate_egy,47.518,percent of working-age population,ILOSTAT (rplumber.ilo.org),1999,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2000-01-01,,1379,,participation_rate_egy,29.6,percent of working-age population,ILOSTAT (rplumber.ilo.org),2000,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2001-01-01,,1380,,participation_rate_egy,44.933,percent of working-age population,ILOSTAT (rplumber.ilo.org),2001,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2002-01-01,,1381,,participation_rate_egy,43.192,percent of working-age population,ILOSTAT (rplumber.ilo.org),2002,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2005-01-01,,1384,,participation_rate_egy,49.515,percent of working-age population,ILOSTAT (rplumber.ilo.org),2005,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2006-01-01,,1385,,participation_rate_egy,46.97,percent of working-age population,ILOSTAT (rplumber.ilo.org),2006,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2007-01-01,,1386,,participation_rate_egy,47.926,percent of working-age population,ILOSTAT (rplumber.ilo.org),2007,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2008-01-01,,1387,,participation_rate_egy,47.551,percent of working-age population,ILOSTAT (rplumber.ilo.org),2008,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2009-01-01,,1388,,participation_rate_egy,47.902,percent of working-age population,ILOSTAT (rplumber.ilo.org),2009,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2010-01-01,,1389,,participation_rate_egy,49.368,percent of working-age population,ILOSTAT (rplumber.ilo.org),2010,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2011-01-01,,1390,,participation_rate_egy,48.785,percent of working-age population,ILOSTAT (rplumber.ilo.org),2011,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2012-01-01,,1391,,participation_rate_egy,48.494,percent of working-age population,ILOSTAT (rplumber.ilo.org),2012,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2013-01-01,,1392,,participation_rate_egy,48.436,percent of working-age population,ILOSTAT (rplumber.ilo.org),2013,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2014-01-01,,1393,,participation_rate_egy,48.117,percent of working-age population,ILOSTAT (rplumber.ilo.org),2014,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2015-01-01,,1394,,participation_rate_egy,46.978,percent of working-age population,ILOSTAT (rplumber.ilo.org),2015,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2016-01-01,,1395,,participation_rate_egy,46.63,percent of working-age population,ILOSTAT (rplumber.ilo.org),2016,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2017-01-01,,1396,,participation_rate_egy,44.95,percent of working-age population,ILOSTAT (rplumber.ilo.org),2017,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2018-01-01,,1397,,participation_rate_egy,43.299,percent of working-age population,ILOSTAT (rplumber.ilo.org),2018,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2019-01-01,,1398,,participation_rate_egy,42.199,percent of working-age population,ILOSTAT (rplumber.ilo.org),2019,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2020-01-01,,1399,,participation_rate_egy,41.616,percent of working-age population,ILOSTAT (rplumber.ilo.org),2020,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2021-01-01,,1400,,participation_rate_egy,42.987,percent of working-age population,ILOSTAT (rplumber.ilo.org),2021,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2022-01-01,,1401,,participation_rate_egy,42.837,percent of working-age population,ILOSTAT (rplumber.ilo.org),2022,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2023-01-01,,1402,,participation_rate_egy,44.669,percent of working-age population,ILOSTAT (rplumber.ilo.org),2023,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
2024-01-01,,1403,,participation_rate_egy,47.955,percent of working-age population,ILOSTAT (rplumber.ilo.org),2024,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1991-01-01,,1370,,participation_rate_irn,46.111,percent of working-age population,ILOSTAT (rplumber.ilo.org),1991,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),AA:1267
1996-01-01,,1375,,participation_rate_irn,43.119,percent of working-age population,ILOSTAT (rplumber.ilo.org),1996,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),AA:1267
2005-01-01,,1384,,participation_rate_irn,45.444,percent of working-age population,ILOSTAT (rplumber.ilo.org),2005,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
